iter	Passed	Remaining
0	48	48319
1	48	24369
2	49	16526
3	50	12565
4	51	10192
5	51	8568
6	52	7451
7	52	6571
8	54	5955
9	54	5424
10	55	5017
11	56	4635
12	56	4311
13	57	4069
14	58	3826
15	59	3641
16	60	3472
17	60	3305
18	61	3152
19	62	3046
20	62	2925
21	64	2859
22	64	2752
23	65	2680
24	66	2590
25	66	2508
26	69	2517
27	70	2445
28	71	2396
29	72	2331
30	72	2268
31	73	2210
32	74	2187
33	75	2134
34	75	2084
35	76	2037
36	77	2018
37	78	1979
38	78	1938
39	79	1913
40	80	1880
41	80	1844
42	81	1809
43	81	1776
44	83	1762
45	83	1732
46	83	1702
47	85	1695
48	86	1679
49	87	1653
50	87	1636
51	88	1613
52	88	1589
53	90	1578
54	90	1560
55	91	1539
56	91	1518
57	93	1514
58	93	1494
59	94	1476
60	94	1461
61	95	1446
62	96	1431
63	96	1414
64	98	1411
65	98	1395
66	99	1381
67	100	1379
68	101	1364
69	101	1349
70	102	1346
71	103	1335
72	104	1321
73	105	1315
74	105	1303
75	106	1291
76	107	1289
77	108	1277
78	108	1265
79	110	1275
80	111	1268
81	112	1263
82	113	1249
83	113	1239
84	115	1238
85	115	1228
86	116	1218
87	118	1228
88	119	1223
89	120	1221
90	121	1212
91	121	1203
92	123	1202
93	123	1192
94	124	1189
95	125	1180
96	125	1171
97	127	1170
98	127	1161
99	128	1152
100	135	1203
101	135	1196
102	136	1187
103	136	1179
104	139	1185
105	139	1178
106	140	1174
107	141	1166
108	141	1158
109	142	1155
110	143	1147
111	143	1140
112	144	1133
113	146	1137
114	147	1133
115	147	1125
116	148	1120
117	148	1113
118	149	1106
119	149	1099
120	150	1092
121	152	1098
122	153	1091
123	154	1089
124	155	1090
125	156	1088
126	157	1084
127	158	1078
128	158	1073
129	160	1073
130	160	1067
131	161	1064
132	162	1058
133	164	1064
134	165	1060
135	166	1057
136	167	1053
137	167	1048
138	168	1042
139	169	1040
140	170	1036
141	171	1033
142	171	1028
143	172	1022
144	172	1017
145	172	1011
146	173	1009
147	174	1004
148	175	1000
149	175	995
150	176	990
151	177	989
152	177	984
153	178	980
154	179	977
155	179	972
156	181	974
157	181	969
158	182	964
159	183	965
160	184	959
161	184	955
162	185	950
163	185	947
164	186	942
165	187	941
166	187	937
167	189	936
168	189	932
169	189	927
170	190	923
171	190	919
172	191	914
173	191	910
174	192	909
175	193	904
176	194	902
177	194	898
178	195	895
179	196	894
180	196	890
181	197	886
182	197	882
183	198	882
184	199	878
185	199	874
186	201	874
187	202	872
188	202	869
189	203	865
190	204	864
191	204	861
192	205	860
193	206	858
194	207	855
195	207	851
196	208	848
197	208	846
198	209	844
199	210	842
200	211	838
201	211	835
202	212	835
203	213	832
204	213	828
205	214	827
206	215	824
207	216	823
208	216	820
209	217	816
210	218	816
211	218	813
212	219	810
213	220	809
214	220	806
215	221	805
216	222	802
217	223	799
218	223	796
219	224	796
220	225	794
221	225	791
222	226	790
223	227	787
224	228	786
225	228	783
226	229	782
227	230	779
228	230	776
229	232	776
230	232	774
231	233	773
232	234	770
233	234	767
234	235	767
235	236	764
236	236	762
237	237	760
238	238	758
239	238	755
240	239	755
241	240	752
242	240	750
243	241	747
244	242	747
245	243	745
246	243	743
247	244	742
248	245	739
249	245	736
250	246	734
251	247	734
252	247	732
253	248	729
254	249	728
255	249	726
256	250	723
257	251	723
258	252	721
259	252	719
260	253	716
261	254	716
262	254	714
263	255	712
264	255	709
265	256	707
266	256	704
267	257	702
268	258	702
269	259	700
270	259	698
271	260	697
272	261	696
273	261	694
274	263	693
275	263	691
276	264	689
277	264	686
278	266	687
279	266	685
280	267	684
281	268	683
282	268	681
283	269	678
284	270	678
285	270	676
286	271	673
287	271	671
288	273	671
289	273	669
290	274	668
291	275	666
292	275	664
293	276	662
294	276	661
295	277	659
296	278	659
297	279	657
298	279	656
299	280	654
300	281	653
301	281	651
302	282	650
303	283	648
304	283	646
305	284	645
306	285	644
307	286	644
308	287	643
309	288	641
310	288	639
311	289	638
312	290	636
313	291	636
314	293	637
315	293	636
316	295	635
317	295	634
318	296	632
319	297	631
320	297	629
321	298	627
322	298	626
323	299	625
324	300	624
325	301	623
326	302	621
327	302	620
328	303	619
329	304	617
330	304	615
331	305	615
332	306	613
333	306	611
334	307	609
335	308	610
336	309	608
337	309	606
338	311	607
339	312	607
340	313	605
341	313	603
342	314	602
343	315	602
344	316	600
345	316	598
346	317	597
347	317	595
348	318	593
349	319	592
350	319	590
351	320	589
352	321	588
353	321	586
354	322	585
355	322	583
356	323	582
357	323	580
358	324	579
359	325	579
360	326	578
361	327	577
362	328	575
363	328	574
364	329	572
365	330	572
366	331	571
367	332	570
368	332	568
369	332	566
370	333	565
371	333	563
